2023.08.29.,Yoon meets with U.S. senator to discuss bilateral ties,"Yoon-US senatorYoon meets with U.S. senator to discuss bilateral ties SEOUL, Aug. 29 (Yonhap) -- President Yoon Suk Yeol met with Sen. Todd Young (R-IN) on Tuesday and discussed ways to develop bilateral ties, his office said. During their meeting at the presidential office, Yoon said South Korea and the United States are optimal economic cooperation partners sharing the common values of freedom and democracy, which can combine the U.S.' competitiveness in technology and South Korea's competitiveness in manufacturing, presidential spokesperson Lee Do-woon said in a written briefing. Yoon also said he is pleased with the recent increase in South Korean companies' investment in Young's state of Indiana, and requested the senator's continued attention and support for the smooth execution of the investment plans as well as for additional, win-win investments. In addition, he expressed hope for bipartisan support from the U.S. Congress for the stable development of trilateral cooperation among South Korea, the U.S. and Japan, as he recalled his recent trilateral summit with U.S. President Joe Biden and Japanese Prime Minister Fumio Kishida at the Camp David presidential retreat in Maryland. Young serves as co-chair of the Senate Korea Caucus. The senator said a strong liking and support for Yoon have formed within Congress since his address to a joint session during his state visit to Washington in April. He added that he will play a more active role for the expansion of the caucus and for the development of the South Korea-U.S. relationship. (END)",세계,0
2023.08.30.,"정부, 새만금 개발 전면 재검토…기본계획 재수립 추진","정부가 새만금 간척지를 제대로 활용할 수 있도록 '새만금 기본계획'을 다시 작성키로 한 것으로 29일 전해졌다. 여권에 따르면 한덕수 총리는 이날 새만금 기반시설(SOC) 건설사업이 확실한 경제적 효과를 올리려면 현재 시점에서 명확하게 목표를 재설정할 필요가 있다는 판단에 따라 국토교통부와 새만금개발청 등에 이같이 지시한 것으로 알려졌다. 한 총리는 ""기존 계획을 뛰어넘어, 전북 경제에 실질적인 활력소가 될 수 있는 '새만금 빅픽처'를 짜달라""고 원희룡 국토부 장관 등에게 당부했다고 정부 관계자가 전했다. 새만금 개발사업에는 윤석열 정부 들어서도 총 6조6천억원의 민간자본 산업 투자가 이루어졌다. 이에 따라 SOC 건설사업에서도 올해 안에 남북도로 공사가 마무리되는 등 일부 진척이 이루어졌다. 하지만 총사업비와 사업계획이 여러 번 변경되고 관할권 분쟁이 벌어지는 등 '사업 집행이 기대에 못 미친다'는 지적이 이어졌다. 무엇보다 공항, 항만, 철도 등 기존에 계획된 기반 시설에 대해 '필요성과 타당성을 꼼꼼하게 따져 제대로 추진하는 것이 필요하다'는 의견이 나왔다. 특히 윤석열 정부 들어 확정된 민간투자와 시너지를 낼 수 있도록 세부내역을 조정해야 한다는 제안도 있었다. 이에 따라 국토교통부는 SOC 적정성을 점검하는 연구용역을 즉시 진행해 내년 상반기까지 마무리하고, 2025년까지 기본계획을 재수립할 계획이다. 다만 정부는 새로운 기본계획이 확정되기 전이라도 새만금 산업단지 입주기업 지원과 민간투자 유치를 위해 꼭 필요한 사업에 대해서는 차질 없이 지원을 이어갈 계획이다. 한 총리는 ""기본계획을 새로 짤 때까지 예산 투입이 줄어들 수 있다""며 ""당장은 어렵더라도 장기적으로 지역 경제를 살리는 선택을 해야 한다""고 언급한 것으로 전해졌다. 정부 관계자는 ""새만금 기본계획은 경제 상황 변동 등에 따라 5∼10년 단위로 주기적으로 갱신해왔다""면서 ""잼버리대회와는 무관하다""라고 했다. ",정치,196
2023.08.29.,키르기즈 문체부 차관 만난 문화재청 차장,서울=연합뉴스) 이경훈 문화재청 차장(왼쪽)이 29일 오후 서울 중구 한국의집에서 키르기즈공화국 아이누라 아스카로바 문화정보체육청년정책부 차관을 만나 기념촬영을 하고 있다. 2023.8.29 [문화재청 제공. 재판매 및 DB 금지] ,생활,0
2023.08.29.,"유니세프 ""우크라 전쟁 후 학교 1천300개 이상 완전 파괴""","(제네바=연합뉴스) 안희 특파원 = 지난해 2월 우크라이나 전쟁이 발발한 이후로 현지 학교 1천300개 이상이 완전히 파괴됐고 학령기 아동의 3분의 1만이 수업에 직접 참석하고 있다고 유엔아동기금(UNICEF·유니세프)이 29일(현지시간) 밝혔다. 유니세프는 이날 성명을 통해 이같이 전하면서 ""완전히 파괴된 학교 외에 다른 학교들도 심하게 파손됐거나 포격 가능성을 우려해 폐쇄된 곳이 많다""고 부연했다. 유니세프는 ""가족과 함께 전란을 피해 우크라이나에 인접한 7개국으로 이주한 어린이 중 절반 이상은 언어 문제 등으로 인해 공교육 체계 안에 등록돼 있지 못한 상태""라고 설명했다. 코로나19 대유행이 그치지 않던 시기에 전쟁이 터진 점도 우크라이나의 교육 공백을 키운 것으로 분석됐다. 유니세프는 ""코로나19로 인해 수업 차질이 빚어진 상황에서 전쟁까지 뒤따른 것은 우크라이나 교육이 4년 연속으로 혼란을 겪고 있음을 뜻한다""고 했다. 현지 교사들의 절반가량은 학생들의 언어 및 수학 능력이 저하됐다고 당국에 보고했다고 유니세프는 덧붙였다. ",세계,1
2023.08.29.,"도요타, 일본 14개 전 공장 가동 중단…""내일 아침 12곳 재개""(종합3보)","(도쿄=연합뉴스) 박성진 박상현 특파원 = 일본 도요타자동차가 29일 도요타그룹의 일본 내 14개 모든 공장 가동이 중단됐다고 밝혔다. 현지 공영방송 NHK와 교도통신, 요미우리신문 등에 따르면 이날 아침부터 도요타그룹의 일본 내 14개 공장 중 후쿠오카현 미야타 공장과 교토부 다이하쓰공업 교토 공장 2곳을 제외한 12개 공장의 가동이 중단됐다. 이어 오후에 들어 나머지 2개 공장의 가동도 멈췄다. 공장 가동 중단 원인은 부품 발주를 관리하는 시스템의 불량인 것으로 파악됐다. 앞서 도요타는 지난해 3월 거래처가 사이버 공격을 받아 일시적으로 국내 모든 공장의 가동을 중단한 바 있다. 그러나 도요타는 이날 시스템 불량 원인은 사이버 공격은 아닌 것으로 보고, 복구 작업을 서두르고 있다. 도요타는 ""14개 공장 중 12곳은 30일 아침부터 가동을 재개할 것""이라며 ""나머지 2개 공장도 저녁 무렵 이후 재개될 것""이라고 밝혔다. 니시무라 야스토시 경제산업상은 ""회사 측이 현 단계에서는 사이버 공격에 의한 문제가 아니라고 생각된다고 발표한 것으로 알고 있다""며 ""경제산업성도 상황을 파악하면서 할 수 있는 일은 대응하겠다""고 말했다. 도요타는 2020년 5년 만에 세계 자동차 판매 대수 1위에 복귀한 이후 지난해까지 3년 연속 1위를 유지했다. ",세계,3
2023.08.30.,"美상무장관 ""중국과 디커플링 없을 것…국가안보는 타협 안해""(종합)","(베이징=연합뉴스) 한종구 특파원 = 중국을 방문 중인 지나 러몬도 미국 상무장관이 방중 사흘째인 29일 리창 총리와 허리펑 부총리를 잇달아 만났다. 리창 총리는 중국 경제 최고 책임자이고, 시진핑 국가주석의 최측근 참모로 꼽히는 허리펑 부총리는 류허 전 부총리의 뒤를 이은 경제 담당 부총리다. 중국 중앙TV(CCTV) 등에 따르면 리창 총리는 이날 오후 베이징 인민대회당에서 러몬도 장관을 만나 ""지난해 시진핑 주석과 조 바이든 대통령이 인도네시아 발리에서 만나 중요한 합의를 하며 중·미 관계의 방향을 제시했다""며 ""상호존중, 평화공존, 협력상생은 양국이 함께 지내는 정확한 길""이라고 말했다. 리 총리는 이어 ""미국과 함께 노력해 더 실용적이고 유익한 조치를 취해 중·미 관계를 잘 유지하고 발전시키기를 원한다""며 ""중·미 경제 무역 관계의 본질은 호혜상생""이라고 강조했다. 그러면서 ""미국과 경제 무역 분야의 대화와 협력을 강화하고 양국 경제 무역 관계의 건전한 발전을 추진하기를 원한다""며 ""미국이 중국과 함께 마주 보고 나아가기를 희망한다""고 덧붙였다. 이에 대해 러몬도 장관은 ""바이든 정부는 중국의 경제발전과 민생개선을 지지한다""며 ""중국 발전을 억제할 의사가 없고 디커플링(공급망 등 분리)을 추구하지 않으며 소통을 유지하고 정상적인 경제 무역 관계를 유지해 양국 관계의 안정적인 발전을 추진하기를 원한다""고 말했다. 러몬도 장관은 이어 ""미국은 중국과 인공지능, 기후변화, 펜타닐 등의 분야에서 협력을 강화하기를 원한다""고 덧붙였다. 앞서 러몬도 장관은 인민대회당에서 허리펑 부총리를 만나 ""우리는 국가 안보를 지키는 데 있어서 결코 타협하지 않을 것""이라면서도 ""디커플링을 추구하거나 중국 경제의 발목을 잡는 일은 없을 것""이라고 강조했다. 허 부총리도 ""러몬도 장관과 함께 일할 준비가 됐다""며 ""미국이 합리적이고 실용적인 정책을 택하길 희망한다""고 말했다. 중국 관영통신 신화사는 러몬도 장관과 허 부총리가 미·중 정상회담 합의와 공동 관심사인 경제 무역 문제에 대해 솔직하고 실용적이며 건설적인 논의를 진행했다고 보도했다. 중국 측은 미국의 통상법 301조(슈퍼 301조), 대중 수출 통제, 양방향(상호) 투자제한 등의 조치에 대해 우려를 표한 것으로 전해졌다. 또 계속 소통을 유지하고 양국 기업의 실무협력을 지원하는데 동의했다고 신화사는 전했다. 러몬도 장관은 이날 오전에는 후허핑 중국 문화여유부장을 만나 2024년 상반기 중국에서 제14차 중미 관광 리더십 회담을 개최하기로 합의했다. 미 상무부는 이번 조치는 양국 관광 협력을 활성화하고 발전시키는 것을 목표로 한다고 밝혔다. ",세계,13
2023.08.29.,[프로축구2부 중간순위] 29일,,스포츠,1
2023.08.29.,"프로축구 K리그2 2위 부산, 선두 김천 완파…승점 1 차 추격(종합)","이의진 기자 = 프로축구 K리그2 1·2위 맞대결에서 부산 아이파크가 웃으면서 선두 김천상무를 바짝 추격했다. 부산은 29일 부산 구덕운동장에서 열린 하나원큐 K리그2 2023 29라운드 홈 경기에서 김천을 2-0으로 꺾었다. 이로써 올 시즌 승점 50 고지를 밟은 두 번째 팀이 된 부산(승점 50·14승 8무 5패)은 김천(승점 51·16승 3무 8패)의 턱밑까지 따라붙었다. 부산은 전반 43분 터진 성호영의 시즌 마수걸이 득점으로 앞서갔다. 왼 측면에서 크로스가 올라오자 순간적으로 수비 뒷공간을 파고든 성호영이 논스톱 왼발 슈팅으로 반대편 골대 하단 구석을 정확히 찔렀다. 성호영은 후반 5분에도 김천 선수들의 가슴을 철렁하게 했다. 페널티아크 뒤편에서 기습적으로 찬 왼발 슈팅이 날카로운 궤적을 그리며 골대 구석으로 향했으나 골키퍼 김준홍이 어렵게 쳐냈다. 김천은 후반 30분 상대 후방을 내달리던 조영욱이 페널티박스에서 이한도의 과감한 태클 탓에 넘어졌지만, 반칙이 선언되지 않아 아쉬움을 삼켰다. 김천이 기회를 놓친 사이 부산이 달아났다. 페널티지역에 수비 견제 없이 공을 잡은 임민혁이 반대편 골대를 보고 오른발 강슛을 차 상대 추격세를 꺾었다. 경남FC는 충남아산과 원정 경기에서 2003년생 수비수 이찬욱의 프로 데뷔골을 앞세워 1-0 승리를 거뒀다. 최근 8경기에서 1승뿐이었던 경남은 반가운 승리를 챙겼다. 경남은 최하위 천안시티FC와 1-1로 비긴 데 이어 성남FC에도 0-2로 완패한 터라 29라운드에는 승리가 절실했다. 승점 3을 얻은 경남(12승 9무 6패·승점 45)은 3위에 자리했다. 반면 직전 김천 상무와 원정 경기에서 0-4로 대패한 충남아산은 이날도 웃지 못했다. 시즌 12패(8승 6무·승점 30)째를 당한 충남아산은 10위에 머물렀다. 이날 외국인 선수들이 모두 선발 명단에서 빠진 경남은 후반 26분 카스트로가 투입될 때까지 71분간 국내 선수들만 그라운드를 누볐다. 경남은 이찬욱이 전반 18분 선제 득점을 올리며 외국 선수 없이도 문제가 없음을 보여줬다. 코너킥 상황에서 수비와 경합을 이겨낸 이찬욱이 껑충 뛰어올라 헤딩으로 2022시즌 프로 무대에 데뷔한 후 첫 번째 득점을 신고했다. 설기현 감독은 후반 38분 글레이손까지 투입하며 막판 공격진에 더 힘을 줬다. 체력적으로 여유로운 글레이손이 수비진을 헤집으며 빌드업 작업을 방해하면서 상대 공격 작업의 힘을 뺐고, 충남아산은 막판까지 수세에 몰리며 승부를 뒤집지 못했다. 부천FC도 원정에서 2-1 승리를 거두며 안산 그리너스를 다시 4경기 연속 무승의 수렁에 빠뜨렸다. 13승 6무 8패가 된 부천(36골)은 경남(41골)과 함께 승점 45를 쌓았으나 다득점에서 밀려 4위에 자리했다. 9연패 후 연승을 달려 반등하는 듯했던 안산은 이달 8일 충북청주FC전(0-2 패)부터 다시 4경기 연속 무승(1무 3패)으로 부진에 빠졌다. 4승 5무 17패가 된 안산(승점 17)은 12위에 자리했다. 부천은 이의형이 경기 시작 3분 만에 안재준의 침투패스를 선제골로 연결하며 앞서갔다. 이어 전반 19분에는 조수철이 페널티아크에서 오른발로 감아 찬 게 골대 구석으로 빨려 들어가며 부천이 2-0으로 달아났다. 패색이 짙어지던 안산은 후반 22분 상대 실수를 틈타 한 골은 만회했다. 김경준이 상대 골키퍼로 향하는 패스를 가로챈 후 전진하는 골키퍼를 보고 공을 살짝 띄워 올려 골망을 흔들었으나, 종료 휘슬이 울릴 때까지 안산에 또 다른 득점 기회는 찾아오지 않았다. ",스포츠,24
2023.08.29.,"與 조강특위, 강서을 조직위원장에 김성태 추천…마포갑은 보류(종합)","국민의힘 조직강화특별위원회(조강특위)는 29일 신규 조직위원장을 공모한 사고당협 36곳 중 총 10곳의 후보를 추천하기로 결정했다. 박진호 조강특위 대변인은 이날 서울 여의도 중앙당사에서 회의를 열고 사고당협 10곳은 후보자를 추천하고 2곳은 계속 심사를 이어가기로 했다고 밝혔다. 현역 의원들이 맞붙은 마포갑을 비롯한 나머지 24곳은 이번 조강특위에서는 후보자를 선정하지 않는 '보류' 지역으로 남겨두기로 했다. 당 관계자에 따르면, 조강특위는 서울 강서을에 김성태 전 의원을 조직위원장 후보로 추천키로 했다. 오신환 전 서울시 정무부시장(서울 광진을), 이승환 전 대통령실 행정관(서울 중랑을), 고석 변호사(경기 용인병) 등도 최종 추천 명단에 이름을 올렸다. 시흥시갑에는 검사 출신의 정필재 변호사가, 인천 서구에는 이행숙 인천시 문화복지정무부시장이 추천 명단에 이름을 올린 것으로 전해졌다. 이들 명단은 오는 31일 최고위원회 의결을 거쳐 최종 확정된다. 앞서 조강특위는 지난 24일 회의를 열고 사고 당협 10곳에 조직위원장 후보를 추천키로 잠정 발표하고, 서울 강서을 등 5~6곳에 대해서는 추가 논의를 이어가기로 했었다. 조강특위는 이날 추가 논의 끝에 강서을 조직위원장 후보로 김 전 의원을 추천하기로 하면서, 앞서 조직위원장 후보를 추천키로 했던 지역 중 일부는 후보자 추천 없이 계속 심사를 이어가기로 했다. 박 대변인은 ""조금 지켜봐야 할 곳이 있다고 판단된 곳들이 있다""며 ""(24일 잠정 인선 발표 후 경쟁했던 상대 후보가 잠정 추천자에 대해) 투서를 넣은 것도 있어 그게 사실인지 아닌지를 확인하는 작업도 필요하다""고 설명했다. 당내 유일한 호남 지역구 의원인 재선의 이용호 의원과 비례대표 최승재 의원이 맞붙은 서울 마포갑은 보류됐다. 당 관계자는 ""마땅한 사람이 없어 결정을 내리기 어려웠다""고 전했다. 이외에도 비례대표 최영희 의원과 정광재 MBN 전 앵커 등이 지원한 경기 의정부 갑, 김민수 대변인이 지원한 경기 성남 분당을, 송주범 전 서울시 정무부시장이 지원한 서울 서대문을도 각각 보류 지역으로 남았다. 공모지역의 3분의 2를 보류 지역으로 남겨 놓은 이유에 대해서는 ""(해당 지역에는) 선거구 조정지역도 포함돼 있고, 한 군데 지역에 (지원자가) 많이 몰려있어 그 인재들을 추후 (총선을 앞두고) 재배치할 수도 있다""며 ""이 중에는 인재영입을 위해 비워둔 곳도 있다""고 전했다. 보류지역 대부분이 인재영입을 위한 포석 아니냐는 전망이 나오는 데 대해선 ""아니다""라며 ""웬만하면 여기 있는 인재 풀을 이용해 공심위(공천심사위원회)가 잘 활용하지 않을까""라고 덧붙였다. 앞서 조강특위는 40개 사고당협 중 36곳의 신규 조직위원장을 공모했고, 총 86명이 지원해 면접을 봤다. 사고당협 중 당원권이 정지된 이준석 전 대표(서울 노원병)와 태영호 의원(서울 강남갑), 탈당한 황보승희 의원(부산 중·영도)·하영제 의원(경남 사천·남해·하동)의 지역구 4곳은 제외됐다. ",정치,4
2023.08.29.,"前수사단장 ""VIP 격노했다 들어"" vs 해병대사령관 ""사실 아냐""(종합2보)","국방부가 해병대 채 모 상병 순직 사건의 경찰 이첩을 보류시킨 배경에 윤석열 대통령의 의중이 있었다고 박정훈 전 해병대 수사단장(대령)이 주장했다. 박 대령은 지난 28일 용산구 국방부 검찰단에 출석해 이런 내용이 담긴 사실관계 진술서를 제출했다. 29일 공개된 진술서에 따르면 김계환 해병대사령관과 박 대령은 지난달 30일 오후 4시30분께 이종섭 국방부 장관에게 경북경찰청에 이첩해야 할 수사 결과를 보고했다. 이튿날인 7월 31일 정오께 언론 브리핑을 위해 국방부 근처에 대기하던 중 김계환 사령관이 급하게 전화해 ""언론 브리핑이 취소됐다""며 부대 복귀를 지시했다고 한다. 이어 국방부 대변인이 해병대사령부 공보정훈실장에게 전화해 ""취소 사유에 대한 논리를 개발하라""고 했고, 공보정훈실장이 ""국방부 지시로 취소됐다고 하겠다""고 하자 대변인은 ""절대로 안 된다""며 막았다고 한다. 같은 날 오후 3시18분께 유재은 국방부 법무관리관이 박 대령에게 전화해 사건 서류에서 ""혐의자와 혐의 내용을 다 빼라, 업무상 과실치사 혐의 제목을 빼라""고 했다고 한다. 이에 박 대령이 김계환 사령관에게 ""도대체 국방부에서 왜 그러는 것입니까""라고 질문하자, 김 사령관은 ""오전 대통령실에서 VIP 주재 회의간 1사단 수사 결과에 대한 언급이 있었고 VIP가 격노하면서 장관과 통화한 후 이렇게 되었다""고 말했다고 한다. 박 대령이 ""정말 VIP가 맞습니까?""라고 묻자 김 사령관은 고개를 끄덕이며 맞는다고 했다고 진술서에 명시됐다. 국방부 검찰단은 박 대령의 진술서 내용을 확인하기 위해 이날 경기도 화성 해병대사령부를 방문, 사령관을 조사한 것으로 알려졌다. 김 사령관은 조사에서 ""그런 사실이 없다""고 진술한 것으로 전해졌다. 아울러 해병대 관계자는 김 사령관이 진술서에 등장하는 것과 같은 발언을 한 적이 있느냐는 연합뉴스 질문에 ""국회 국방위원회에서 했던 발언에서 달라진 입장이 없다""며 사실상 부인했다. 김 사령관은 지난 25일 국회에 출석해 수사 축소 의혹 등은 전면 부인했지만 안보실 2차장과 통화가 있었다는 사실은 인정한 바 있다. 또 전하규 국방부 대변인은 연합뉴스에 ""해병대 측에 기자들에게 브리핑이 취소된 이유를 설명하라고 한 것이지, '논리를 개발하라'고 한 적은 없다""고 말했다. 항명 혐의를 받는 박 대령은 전날 군검찰에 출석해 진술서를 제출했으나 진술 거부권을 행사했다. 박 대령 측 법률대리인 김정민 변호사는 ""군 검사 앞에서 해병대 사령관에게 외압이 가해지는 정황이 담긴 녹음 파일을 틀자 군 검사가 당황해 재생을 중단시켰다""고 주장했다. 이에 대해 국방부는 ""군 검사가 당황하며 수사를 중단시켰다는 것은 전혀 사실이 아니며, 군 검사가 나가라고 한 적도 없다. 이 사실은 모두 영상에 녹화돼 있다""며 ""군 검사가 조사를 진행하면서 필요할 경우 재생할 것을 요청했으나, 변호인이 조사를 거부하며 조사실 밖으로 나간 사실이 있다""고 반박했다. ",정치,80
2023.08.29.,"""中 일부 국영은행, 주택담보대출 금리 곧 인하 예정""","중국 국영은행 일부가 조만간 기존 주택담보대출 금리를 인하한다고 로이터 통신이 관련 사정에 밝은 복수의 소식통을 인용해 29일(현지시간) 보도했다. 이 매체는 일부 국영은행의 경우 정기예금 금리도 10∼25bp(1bp=0.01%포인트)가량 낮출 것이라고 전했다. 블룸버그 통신 역시 소식통을 인용, 중국공상은행과 중국건설은행 등 대형 은행들이 이번 주 중 기존 주택담보대출과 예금 금리 인하 조처를 발표할 수 있다고 보도했다. 이어 38조6천억 위안(약 7천조원)에 이르는 중국내 주택담보대출액의 상당 부분이 이번 조처로 영향을 받게 될 것이라면서 ""이는 세계 2위 경제대국의 성장을 촉진하려는 가장 최근의 정부 주도 조처""라고 평가했다. 2021년 7월 기준으로 중국내 주택담보대출의 90% 이상은 생애 첫 주택 마련에 따른 것으로 알려졌다. 이같은 움직임은 소비 촉진과 주식시장 유입 자금 증대, 대출기관에 대한 압박 완화 등을 위한 조치 중 하나겠지만, 투자자 신뢰의 지속적 회복에 충분할지 여부는 불분명하다고 블룸버그 통신은 전했다. 중국 국영은행들은 미국발 금융위기 직후였던 2009년에도 자격요건을 갖춘 대출자들에게 금리를 인하해 주는 비슷한 조처를 한 적이 있다고 통신은 덧붙였다. ",세계,0
2023.08.29.,"역시 관광 대국 프랑스…""올해 예상 수익 최대 95조원""","(파리=연합뉴스) 송진원 특파원 = 프랑스가 지난해에 이어 올해도 여름 관광 '장사'에서 톡톡히 수익을 올린 것으로 나타났다. 코로나19 팬데믹에서 벗어나면서 다시금 관광 대국의 면모를 찾아가고 있다. 올리비아 그레고아 프랑스 관광부 장관은 바캉스 기간이 끝난 29일(현지시간) 기자회견을 열어 ""올해 외국인 입국자가 증가했다""며 ""기록적인 한 해였던 지난해에 이어 아주 좋은 관광 시즌을 보냈다""고 말했다. 그레고아 장관은 이런 추세가 지속된다면 올해 외국인 관광 수익은 640억 유로(한화 약 91조6천억원)∼670억 유로(약 95조9천억원)에 달할 것이라고 말했다. 지난해 관광 수입으로 올린 580억 유로(약 83조원)를 뛰어넘는 수준이다. 관광업은 프랑스 국내총생산(GDP)의 약 8%를 차지한다. 관광부에 따르면 올해 예상 해외 관광객 수는 7천800만∼8천200만명으로, 특히 이번 달 유럽인들이 바캉스 기간을 맞아 대거 프랑스를 찾은 것으로 집계됐다. 유로-달러 환율의 혜택을 받은 미국인 관광객도 지난해 수준을 유지하며 프랑스 관광 수익에 한몫을 보탠 것으로 나타났다. 관광객이 늘면서 항공기 운항 횟수도 코로나19 이전 수준을 회복했다고 일간 르몽드는 전했다. 프랑스의 주요 관문인 샤를 드골 공항과 오를리 공항을 관리하는 그룹 ADP에 따르면 지난 달 두 공항은 1년 전보다 7.5% 증가한 977만 명의 승객을 맞았다. 특히 오를리 공항의 경우 103.1%의 증가율을 보여 2019년 수준을 회복했다. ADP는 8월에도 이런 추세가 지속된 것으로 보고 있다. 관광부는 지난 달 항공기를 이용한 외국인 관광객은 전년도보다 29% 증가한 것으로 파악했다. 특히 아시아 관광객이 지난해에 비해 119% 증가하며 본격적인 회복세에 접어들었다고 밝혔다. 다만 중국 관광객의 경우 여전히 2019년 대비 69% 감소한 수준에 머물러 있다고 한다. 그레고아 장관은 ""중국 관광객 유입이 아직 뒤처져 있지만 여름이 시작된 이후 회복세가 빨라졌다""며 일본, 한국, 인도 관광객은 ""매우 좋은 실적""을 보였다고 강조했다. 관광객이 늘면서 호텔 업계도 덩달아 웃었다. 르몽드는 호텔업계의 객실당 평균 수익이 2019년 대비 약 22% 증가했다고 보도했다. 객실 가격이 폭발적으로 뛴 덕분인데, 2019년 이후 전국적으로는 28.2%, 최다 관광객이 몰리는 파리의 경우 객실 가격이 40.7%나 상승한 것으로 집계됐다. ",세계,1
2023.08.29.,[프로축구2부 안산전적] 부천 2-1 안산,,스포츠,0
2023.08.29.,[프로축구2부 부산전적] 부산 2-0 김천,,스포츠,1
2023.08.29.,[부고] 민지영(전 안양 한라 아이스하키단 부장)씨 별세,,스포츠,0
2023.08.29.,"추경호 ""10월 2일 임시공휴일 적극 검토…재정 허리띠 졸라매""","추경호 부총리 겸 기획재정부 장관은 징검다리 휴일인 오는 10월 2일을 휴일로 지정하는 방안을 적극 검토하고 있다고 29일 밝혔다. 추 부총리는 이날 연합뉴스TV와 SBS 8 뉴스에 출연해 추석 연휴와 개천절 사이인 오는 10월 2일을 임시 공휴일로 지정하는 문제에 대해 이렇게 말했다. 그는 ""여당에서 국민들의 휴식권을 확대하고 내수를 진작하기 위해 제안했고 정부도 여당과 생각을 같이하고 있다""며 ""정부 내에서도 긍정적 분위기가 많다""고 전했다. 이날 정부가 발표한 내년 예산안의 기조에 대해서는 ""건전재정 유지와 돈을 써야 할 데는 써야겠다는 접점 사이를 찾는 데 고민을 많이 했다""며 ""역대 최저 수준인 2.8% 증가에 그치는, 허리띠를 바짝 졸라맨 재정 운영 계획을 잡았다""고 설명했다. 경기 회복을 위해 재정지출을 늘려야 한다는 지적에 대해서는 ""세수 상황이 좋지 않다""며 ""가족 수입이 적으면 빚을 더 내기보다는 씀씀이를 줄여야 한다""고 선을 그었다. 추 부총리는 ""빚을 내 재정을 투입하면서 경제활력을 도모하는 정책은 하책 중 하책""이라며 ""가장 손쉬운 무책임한 정책이라고 생각한다""고 말했다. 지출 구조조정과 관련해서는 ""부정 수급의 문제가 있었던 보조금 부분을 전면적으로 다시 들여다봤고 나눠먹기식, 폐쇄적으로 운영된다고 지적된 연구개발(R&D) 사업을 집중적으로 검토했다""고 설명했다. 그는 ""낭비 사업, 실효성 없는 사업, 타당성 부족한 사업 등의 예산을 집중적으로 삭감했다""고 부연했다. 향후 국회의 예산안 심사와 관련해서는 ""여야를 막론하고 국회에서 제시하는 문제는 심사 과정에서 진지하게 임하며 좋은 옥동자가 탄생하도록 최선을 다하겠다""고 말했다. 그러면서 ""(국회가) 정부의 예산 편성 취지를 충분히 이해하고 가급적 정부안에 가깝게 통과되도록 협조를 당부한다""고 말했다. 가계부채와 관련해서는 ""가계부채 문제는 오랫동안 누적돼서 한꺼번에 급랭시켜서 (부채를) 크게 줄이면 경제 주름살이 있다""며 ""서서히 줄여나가며 가계부채에 관한 대외 신인도를 높여나갈 생각""이라고 밝혔다. ",경제,172
